Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 CON2PX	 CON2PY	 CON2PZ	 
216.1	 222059	 222604	 222604	 -267	 0	 0	 
216.2	 221675	 222674	 222674	 -267	 0	 0	 
216.3	 221324	 222742	 222742	 -267	 0	 0	 
216.4	 221096	 222811	 222811	 -267	 0	 0	 
216.5	 221013	 222868	 222868	 -267	 0	 0	 
216.6	 221061	 222914	 222914	 -267	 0	 0	 
216.7	 221160	 222940	 222940	 -267	 0	 0	 
216.8	 221239	 222946	 222946	 -267	 0	 0	 
216.9	 221250	 222936	 222936	 -267	 0	 0	 
217	 221190	 222909	 222909	 -267	 0	 0	 
217.1	 221121	 222878	 222878	 -267	 0	 0	 
217.2	 221100	 222834	 222834	 -267	 0	 0	 
217.3	 221196	 222791	 222791	 -267	 0	 0	 
217.4	 221410	 222740	 222740	 -267	 0	 0	 
217.5	 221698	 222684	 222684	 -267	 0	 0	 
217.6	 221992	 222631	 222631	 -267	 0	 0	 
217.7	 222199	 222576	 222576	 -267	 0	 0	 
217.8	 222279	 222533	 222533	 -267	 0	 0	 
217.9	 222233	 222509	 222509	 -267	 0	 0	 
218	 222095	 222501	 222501	 -267	 0	 0	 
218.1	 221945	 222524	 222524	 -267	 0	 0	 
218.2	 221825	 222565	 222565	 -267	 0	 0	 
218.3	 221762	 222627	 222627	 -267	 0	 0	 
218.4	 221736	 222707	 222707	 -267	 0	 0	 
218.5	 221688	 222792	 222792	 -267	 0	 0	 
218.6	 221583	 222889	 222889	 -267	 0	 0	 
218.7	 221393	 222990	 222990	 -267	 0	 0	 
218.8	 221138	 223094	 223094	 -267	 0	 0	 
218.9	 220873	 223203	 223203	 -267	 0	 0	 
219	 220648	 223308	 223308	 -267	 0	 0	 
219.1	 220510	 223409	 223409	 -267	 0	 0	 
219.2	 220451	 223492	 223492	 -267	 0	 0	 
219.3	 220448	 223557	 223557	 -267	 0	 0	 
219.4	 220451	 223599	 223599	 -267	 0	 0	 
219.5	 220417	 223614	 223614	 -267	 0	 0	 
219.6	 220343	 223609	 223609	 -267	 0	 0	 
219.7	 220251	 223587	 223587	 -267	 0	 0	 
219.8	 220191	 223550	 223550	 -267	 0	 0	 
219.9	 220221	 223507	 223507	 -267	 0	 0	 
220	 220355	 223452	 223452	 -267	 0	 0	 
220.1	 220597	 223395	 223395	 -267	 0	 0	 
220.2	 220892	 223326	 223326	 -267	 0	 0	 
220.3	 221184	 223250	 223250	 -267	 0	 0	 
220.4	 221426	 223171	 223171	 -267	 0	 0	 
220.5	 221593	 223091	 223091	 -267	 0	 0	 
220.6	 221696	 223015	 223015	 -267	 0	 0	 
220.7	 221771	 222949	 222949	 -267	 0	 0	 
220.8	 221852	 222895	 222895	 -267	 0	 0	 
220.9	 221965	 222855	 222855	 -267	 0	 0	 
221	 222103	 222826	 222826	 -267	 0	 0	 
221.1	 222240	 222807	 222807	 -267	 0	 0	 
221.2	 222338	 222797	 222797	 -267	 0	 0	 
221.3	 222370	 222795	 222795	 -267	 0	 0	 
221.4	 222332	 222804	 222804	 -267	 0	 0	 
221.5	 222243	 222824	 222824	 -267	 0	 0	 
221.6	 222139	 222856	 222856	 -267	 0	 0	 
221.7	 222063	 222900	 222900	 -267	 0	 0	 
221.8	 222026	 222947	 222947	 -267	 0	 0	 
221.9	 222034	 222994	 222994	 -267	 0	 0	 
222	 222059	 223030	 223030	 -267	 0	 0	 
222.1	 222072	 223048	 223048	 -267	 0	 0	 
222.2	 222058	 223048	 223048	 -267	 0	 0	 
222.3	 222016	 223027	 223027	 -267	 0	 0	 
222.4	 221974	 222990	 222990	 -267	 0	 0	 
222.5	 221968	 222938	 222938	 -267	 0	 0	 
222.6	 222032	 222874	 222874	 -267	 0	 0	 
222.7	 222182	 222800	 222800	 -267	 0	 0	 
222.8	 222407	 222713	 222713	 -267	 0	 0	 
222.9	 222678	 222614	 222614	 -267	 0	 0	 
223	 222957	 222503	 222503	 -267	 0	 0	 
223.1	 223209	 222382	 222382	 -267	 0	 0	 
223.2	 223423	 222258	 222258	 -267	 0	 0	 
223.3	 223600	 222135	 222135	 -267	 0	 0	 
223.4	 223758	 222018	 222018	 -267	 0	 0	 
223.5	 223918	 221916	 221916	 -267	 0	 0	 
223.6	 224082	 221824	 221824	 -267	 0	 0	 
223.7	 224254	 221751	 221751	 -267	 0	 0	 
223.8	 224406	 221690	 221690	 -267	 0	 0	 
223.9	 224506	 221644	 221644	 -267	 0	 0	 
224	 224478	 221613	 221613	 -267	 0	 0	 
224.1	 224356	 221601	 221601	 -267	 0	 0	 
224.2	 224205	 221607	 221607	 -267	 0	 0	 
224.3	 224124	 221639	 221639	 -267	 0	 0	 
224.4	 224132	 221687	 221687	 -267	 0	 0	 
224.5	 224223	 221759	 221759	 -267	 0	 0	 
224.6	 224308	 221841	 221841	 -267	 0	 0	 
224.7	 224294	 221933	 221933	 -267	 0	 0	 
224.8	 224126	 222028	 222028	 -267	 0	 0	 
224.9	 223803	 222121	 222121	 -267	 0	 0	 
225	 223400	 222214	 222214	 -267	 0	 0	 
225.1	 223014	 222304	 222304	 -267	 0	 0	 
225.2	 222663	 222392	 222392	 -267	 0	 0	 
225.3	 221670	 222478	 222478	 -267	 0	 0	 
225.4	 221121	 222555	 222555	 -267	 0	 0	 
225.5	 221139	 222625	 222625	 -267	 0	 0	 
225.6	 221648	 222677	 222677	 -267	 0	 0	 
225.7	 222004	 222715	 222715	 -267	 0	 0	 
225.8	 222236	 222739	 222739	 -267	 0	 0	 
225.9	 222074	 222745	 222745	 -267	 0	 0	 
226	 221541	 222749	 222749	 -267	 0	 0	 
226.1	 220951	 222742	 222742	 -267	 0	 0	 
226.2	 220438	 222735	 222735	 -267	 0	 0	 
226.3	 220315	 222725	 222725	 -267	 0	 0	 
226.4	 220570	 222711	 222711	 -267	 0	 0	 
226.5	 221044	 222699	 222699	 -267	 0	 0	 
